street;potential_person;description
улица Бурденко;Бурденко;Бурденко — имя собственное; распространено в виде фамилий
улица Державина;Державина;Держа́вина — женская форма русской фамилии Держа́вин
улица Кутателадзе;Кутателадзе;Кутателадзе (груз
улица Стофато;Стофато;Стофато — может означать:

Стофато, Константин Аристидович — советский инженер, изыскатель
улица Аникина;Аникина;Ани́кина — женская форма фамилии Ани́кин; может выступать в роли топонима
улица Ласточкина;Ласточкина;Ла́сточкина — женская форма фамилии Ла́сточкин
улица Путинцева;Путинцева;Путинцева — женская форма фамилии Путинцев
Культура;Культура;Культу́ра (от лат
Sagittarius;Sagittarius;Sagittarius («стрелец»; [сагиттариус]) — латинское слово
Вера;Вера;Ве́ра (праслав
Базилик;Базилик;Базили́к (лат
Цветной бульвар;Цветной бульвар;Цветно́й бульва́р (до середины XIX века Трубный бульвар) — бульвар в Центральном административном ок
улица Колчина;Колчина;Ко́лчина — женская форма фамилии Колчин
улица Панфилова;Панфилова;Панфи́лова — женская форма русской фамилии Панфилов
Мост;Мост;Мост — дорожное сооружение, возведённое над каким-либо препятствием, например, через водоём, овраг
Неглинная улица;Неглинная улица;Негли́нная у́лица (до 1922 года — Негли́нный прое́зд) — улица в Центральном административном округе 
улица Хутор;Хутор;Ху́тор (укр
улица Ванеева;Ванеева;Ванеева — русская фамилия, женская форма фамилии Ванеев
улица Ильиных;Ильиных;Ильины́х — русская фамилия
Зарипова;Зарипова;Зари́пова — фамилия, женская форма фамилии Зарипов, происходящей от арабского имени Зариф
